Store ID,City,Store Number,Country,Department Name,hoursown,hourslease,Total Workers' Hours,Units Sold,Turnover (USD),Area ($m^2$),Opening Scheme,Hours Per Month,Date
88253,London,I,United Kingdom,Dry,3184.76,0,3184.76,398560.0,1226244.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Frozen,1582.94,0,1582.94,82725.0,387810.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,other,47.2,0,47.2,438400.0,654657.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Fish,1623.85,0,1623.85,309425.0,499434.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Fruits & Vegetables,1759.17,0,1759.17,165515.0,329397.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Meat,8270.32,0,8270.32,1713310.0,5617137.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Food,16468.25,0,16468.25,3107935.0,8714679.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Clothing,4698.47,0,4698.47,213680.0,1615341.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Household,1183.27,0,1183.27,54915.0,290400.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Hardware,2029.82,0,2029.82,59260.0,450015.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Non Food,7911.56,0,7911.56,327855.0,2355756.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Admin,4308.24,0,4308.24,218.02177321906154,1648641.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Checkout,5825.1,0,5825.1,3435790.0,11070435.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,Customer Services,3320.08,0,3320.08,15.927171205056254,1648001.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,others,2253.25,0,2253.25,128.33508900657796,1648357.0,Medium,Type A,382,October 2016
88253,London,I,United Kingdom,all,40086.49,0,40086.49,3435790.0,11070435.0,Medium,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Dry,2583.69,0,2583.69,754600.0,2648175.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Frozen,5145.34,0,5145.34,216925.0,1291830.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,other,47.2,0,47.2,1111835.0,1822749.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Fish,3008.53,0,3008.53,918270.0,170775.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Fruits & Vegetables,8909.16,0,8909.16,507295.0,1068444.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Meat,15779.06,0,15779.06,3408220.0,12831339.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Food,35472.98,0,35472.98,6917145.0,21423312.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Clothing,7889.53,0,7889.53,421280.0,3390450.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Household,1762.32,0,1762.32,82835.0,382380.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Hardware,2797.68,0,2797.68,55420.0,523590.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Non Food,12449.53,0,12449.53,559535.0,4296420.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Admin,6967.46,0,6967.46,5.0,1647966.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Checkout,11719.43,0,11719.43,7476680.0,25719732.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,Customer Services,5491.52,0,5491.52,5.0,1647966.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,others,2300.46,0,2300.46,5.0,1647966.0,,Type A,382,October 2016
38976,Manchester,Unique,United Kingdom,all,74401.37,0,74401.37,7476680.0,25719732.0,,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Dry,2341.37,0,2341.37,532855.0,1853250.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Frozen,3077.77,184,3261.77,167015.0,859218.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,other,47.2,0,47.2,896495.0,140016.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Fish,2196.61,210,2406.61,485250.0,825447.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Fruits & Vegetables,3383.02,0,3383.02,309260.0,583395.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Meat,16493.43,758,17251.43,3142355.0,10552749.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Food,27539.4,1152,28691.4,5533230.0,16134075.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Clothing,8528.37,0,8528.37,305310.0,2621853.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Household,1957.43,0,1957.43,76875.0,369015.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Hardware,2580.54,0,2580.54,64370.0,573678.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Non Food,13066.34,0,13066.34,446555.0,3564546.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Admin,4947.08,0,4947.08,10.0,1647982.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Checkout,8965.8,660,9625.8,5979785.0,19698621.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,Customer Services,3584.43,0,3584.43,10.0,1647982.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,others,2624.6,84,2708.6,10.0,1647982.0,Medium,Type A,382,October 2016
17647,Liverpool,Unique,United Kingdom,all,60727.66,1896,62623.66,5979785.0,19698621.0,Medium,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Dry,1976.32,0,1976.32,400965.0,1155525.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Frozen,903.19,0,903.19,58920.0,313425.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,other,47.2,0,47.2,372615.0,511839.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Fish,1542.03,0,1542.03,253660.0,444939.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Fruits & Vegetables,2111.64,0,2111.64,130240.0,272001.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Meat,5850.27,0,5850.27,1034295.0,2824530.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Food,12430.65,0,12430.65,2250695.0,5522259.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Clothing,3162.74,0,3162.74,144460.0,1335438.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Household,1579.79,0,1579.79,48085.0,264981.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Hardware,1954.29,0,1954.29,41520.0,364386.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Non Food,6696.82,0,6696.82,234065.0,1964805.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Admin,3581.29,0,3581.29,15.0,1647998.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Checkout,3738.64,0,3738.64,2484760.0,7487064.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Customer Services,2435.78,0,2435.78,15.0,1647998.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,Delivery,6621.29,0,6621.29,923245.0,2366745.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,others,31.47,0,31.47,15.0,1647998.0,Small,Type A,382,October 2016
22117,Birmingham,Unique,United Kingdom,all,35535.92,0,35535.92,2484760.0,7487064.0,Small,Type A,382,October 2016
73949,Leicester,Unique,United Kingdom,Dry,2489.28,324,2813.28,502530.0,2031642.0,Small,Type B,342,October 2016
73949,Leicester,Unique,United Kingdom,Frozen,2939.3,0,2939.3,177730.0,1085793.0,Small,Type B,342,October 2016
73949,Leicester,Unique,United Kingdom,other,47.2,0,47.2,749240.0,1225689.0,Small,Type B,342,October 2016
73949,Leicester,Unique,United Kingdom,Fish,1589.24,0,1589.24,446150.0,842403.0,Small,Type B,342,October 2016
73949,Leicester,Unique,United Kingdom,Fruits & Vegetables,2092.76,0,2092.76,181105.0,451797.0,Small,Type B,342,October 2016
73949,Leicester,Unique,United Kingdom,Meat,10643.15,0,10643.15,1804690.0,8395014.0,Small,Type B,342,October 2016
